origin,destination,num,year
Afghanistan,Argentina,20.0,1995
Afghanistan,Australia,7893.0,1995
Afghanistan,Austria,5357.0,1995
Afghanistan,Azerbaijan,223.0,1995
Afghanistan,Bahrain,236.0,1995
Afghanistan,Belarus,216.0,1995
Afghanistan,Belgium,38.0,1995
Afghanistan,Bolivia (Plurinational State of),1.0,1995
Afghanistan,Bulgaria,223.0,1995
Afghanistan,Canada,13677.0,1995
Afghanistan,Chile,8.0,1995
Afghanistan,Colombia,104.0,1995
Afghanistan,Costa Rica,11.0,1995
Afghanistan,Cyprus,3.0,1995
Afghanistan,Czech Republic,77.0,1995
Afghanistan,Denmark,1648.0,1995
Afghanistan,Ecuador,21.0,1995
Afghanistan,Egypt,188.0,1995
Afghanistan,Finland,144.0,1995
Afghanistan,France,3455.0,1995
Afghanistan,Germany,51537.0,1995
Afghanistan,Greece,472.0,1995
Afghanistan,Hungary,403.0,1995
Afghanistan,Iceland,1.0,1995
Afghanistan,India,12026.0,1995
Afghanistan,Iran (Islamic Republic of),2029435.0,1995
Afghanistan,Iraq,284.0,1995
Afghanistan,Ireland,79.0,1995
Afghanistan,Israel,2836.0,1995
Afghanistan,Italy,236.0,1995
Afghanistan,Jordan,75.0,1995
Afghanistan,Kuwait,1068.0,1995
Afghanistan,Latvia,22.0,1995
Afghanistan,Libya,452.0,1995
Afghanistan,Lithuania,45.0,1995
Afghanistan,Malaysia,36.0,1995
Afghanistan,Namibia,61.0,1995
Afghanistan,Netherlands,14531.0,1995
Afghanistan,New Zealand,489.0,1995
Afghanistan,Nicaragua,22.0,1995
Afghanistan,Norway,351.0,1995
Afghanistan,Pakistan,1212572.0,1995
Afghanistan,Philippines,353.0,1995
Afghanistan,Poland,187.0,1995
Afghanistan,Qatar,417.0,1995
Afghanistan,Russian Federation,15576.0,1995
Afghanistan,Saudi Arabia,170388.0,1995
Afghanistan,Slovakia,54.0,1995
Afghanistan,Slovenia,2.0,1995
Afghanistan,South Africa,36.0,1995
Afghanistan,Spain,37.0,1995
Afghanistan,Sri Lanka,15.0,1995
Afghanistan,Sweden,3997.0,1995
Afghanistan,Switzerland,2243.0,1995
Afghanistan,Syrian Arab Republic,92.0,1995
Afghanistan,Tajikistan,12248.0,1995
Afghanistan,Thailand,9.0,1995
Afghanistan,Turkey,9633.0,1995
Afghanistan,Ukraine,2468.0,1995
Afghanistan,United Arab Emirates,2088.0,1995
Afghanistan,United Kingdom of Great Britain and Northern Ireland,8160.0,1995
Afghanistan,United States of America,36082.0,1995
Albania,Argentina,144.0,1995
Albania,Australia,1315.0,1995
Albania,Austria,1955.0,1995
Albania,Belgium,1354.0,1995
Albania,Bolivia (Plurinational State of),3.0,1995
Albania,Bulgaria,316.0,1995
Albania,Canada,3263.0,1995
Albania,Chile,24.0,1995
Albania,Colombia,52.0,1995
Albania,Costa Rica,2.0,1995
Albania,Croatia,83.0,1995
Albania,Cuba,184.0,1995
Albania,Cyprus,98.0,1995
Albania,Czech Republic,66.0,1995
Albania,Denmark,45.0,1995
Albania,Ecuador,19.0,1995
Albania,Egypt,96.0,1995
Albania,Finland,17.0,1995
Albania,France,3501.0,1995
Albania,Germany,8303.0,1995
Albania,Greece,230218.0,1995
Albania,Hungary,113.0,1995
Albania,Iceland,15.0,1995
Albania,Ireland,158.0,1995
Albania,Italy,159672.0,1995
Albania,Latvia,6.0,1995
Albania,Libya,266.0,1995
Albania,Luxembourg,275.0,1995
Albania,Malta,19.0,1995
Albania,Netherlands,267.0,1995
Albania,Norway,81.0,1995
Albania,Philippines,440.0,1995
Albania,Poland,70.0,1995
Albania,Portugal,24.0,1995
Albania,Romania,632.0,1995
Albania,Russian Federation,988.0,1995
Albania,San Marino,28.0,1995
Albania,Serbia,364.0,1995
Albania,Slovakia,29.0,1995
Albania,Slovenia,51.0,1995
Albania,South Africa,63.0,1995
Albania,Spain,359.0,1995
Albania,Sweden,348.0,1995
Albania,Switzerland,1316.0,1995
