destination,origin,num,year
Afghanistan,Pakistan,8107.0,1990
Afghanistan,Tajikistan,40537.0,1990
Afghanistan,Uzbekistan,2027.0,1990
Albania,Canada,1151.0,1990
Albania,Greece,40087.0,1990
Albania,Italy,11287.0,1990
Albania,The former Yugoslav Republic of Macedonia,678.0,1990
Albania,Turkey,2489.0,1990
Albania,United States of America,3011.0,1990
Algeria,France,2086.0,1990
Algeria,Germany,6544.0,1990
Algeria,Indonesia,1000.0,1990
Algeria,Iraq,918.0,1990
Algeria,Italy,3143.0,1990
Algeria,Jordan,2286.0,1990
Algeria,Kuwait,1420.0,1990
Algeria,Lebanon,1564.0,1990
Algeria,Libya,1982.0,1990
Algeria,Malaysia,1651.0,1990
Algeria,Russian Federation,6287.0,1990
Algeria,Saudi Arabia,3068.0,1990
Algeria,Somalia,926.0,1990
Algeria,State of Palestine,36004.0,1990
Algeria,Sudan,9127.0,1990
Algeria,Syrian Arab Republic,3550.0,1990
Algeria,United Kingdom of Great Britain and Northern Ireland,2060.0,1990
Algeria,United States of America,4509.0,1990
Algeria,Western Sahara,167905.0,1990
Algeria,Yemen,2593.0,1990
American Samoa,China,100.0,1990
American Samoa,Fiji,50.0,1990
American Samoa,New Zealand,237.0,1990
American Samoa,Philippines,379.0,1990
American Samoa,Republic of Korea,201.0,1990
American Samoa,Samoa,14674.0,1990
American Samoa,Tokelau,30.0,1990
American Samoa,Tonga,1304.0,1990
American Samoa,United States of America,3510.0,1990
American Samoa,Viet Nam,1.0,1990
Andorra,Argentina,86.0,1990
Andorra,Australia,36.0,1990
Andorra,Belgium,241.0,1990
Andorra,Chile,68.0,1990
Andorra,Denmark,84.0,1990
Andorra,France,4135.0,1990
Andorra,Germany,347.0,1990
Andorra,Italy,109.0,1990
Andorra,Morocco,296.0,1990
Andorra,Netherlands,190.0,1990
Andorra,Philippines,146.0,1990
Andorra,Portugal,3957.0,1990
Andorra,Spain,27103.0,1990
Andorra,Sweden,54.0,1990
Andorra,Switzerland,64.0,1990
Andorra,United Kingdom of Great Britain and Northern Ireland,1043.0,1990
Andorra,United States of America,100.0,1990
Andorra,Uruguay,78.0,1990
Angola,Cabo Verde,3569.0,1990
Angola,Chad,12.0,1990
Angola,Congo,410.0,1990
Angola,Cote d'Ivoire,5.0,1990
Angola,Democratic Republic of the Congo,12178.0,1990
Angola,Guinea,131.0,1990
Angola,Mozambique,97.0,1990
Angola,Namibia,345.0,1990
Angola,Portugal,5298.0,1990
Angola,Rwanda,46.0,1990
Angola,Sao Tome and Principe,3112.0,1990
Angola,South Africa,2437.0,1990
Angola,Zambia,119.0,1990
Anguilla,Canada,28.0,1990
Anguilla,Dominican Republic,308.0,1990
Anguilla,Guyana,181.0,1990
Anguilla,Jamaica,220.0,1990
Anguilla,Montserrat,135.0,1990
Anguilla,Saint Kitts and Nevis,426.0,1990
Anguilla,United Kingdom of Great Britain and Northern Ireland,197.0,1990
Anguilla,United States of America,215.0,1990
Anguilla,United States Virgin Islands,192.0,1990
Antigua and Barbuda,Anguilla,17.0,1990
Antigua and Barbuda,Aruba,7.0,1990
Antigua and Barbuda,Australia,7.0,1990
Antigua and Barbuda,Bahamas,5.0,1990
Antigua and Barbuda,Barbados,204.0,1990
Antigua and Barbuda,Belize,8.0,1990
Antigua and Barbuda,Bermuda,9.0,1990
Antigua and Barbuda,"Bonaire, Sint Eustatius and Saba",4.0,1990
Antigua and Barbuda,British Virgin Islands,66.0,1990
Antigua and Barbuda,Canada,218.0,1990
Antigua and Barbuda,China,57.0,1990
Antigua and Barbuda,Cuba,12.0,1990
Antigua and Barbuda,Curacao,10.0,1990
Antigua and Barbuda,Dominica,2442.0,1990
Antigua and Barbuda,Dominican Republic,621.0,1990
Antigua and Barbuda,Egypt,12.0,1990
Antigua and Barbuda,Ethiopia,1.0,1990
Antigua and Barbuda,France,32.0,1990
Antigua and Barbuda,French Guiana,4.0,1990
Antigua and Barbuda,Germany,45.0,1990
Antigua and Barbuda,Ghana,10.0,1990
Antigua and Barbuda,Grenada,115.0,1990
Antigua and Barbuda,Guadeloupe,46.0,1990
Antigua and Barbuda,Guyana,1660.0,1990
Antigua and Barbuda,Haiti,11.0,1990
Antigua and Barbuda,Honduras,3.0,1990
Antigua and Barbuda,India,32.0,1990
Antigua and Barbuda,Italy,49.0,1990
Antigua and Barbuda,Jamaica,386.0,1990
Antigua and Barbuda,Japan,2.0,1990
Antigua and Barbuda,Lebanon,46.0,1990
Antigua and Barbuda,Martinique,5.0,1990
Antigua and Barbuda,Mexico,3.0,1990
Antigua and Barbuda,Montserrat,844.0,1990
Antigua and Barbuda,Netherlands,17.0,1990
Antigua and Barbuda,New Zealand,3.0,1990
Antigua and Barbuda,Nigeria,35.0,1990
Antigua and Barbuda,Pakistan,7.0,1990
Antigua and Barbuda,Puerto Rico,30.0,1990
Antigua and Barbuda,Saint Kitts and Nevis,469.0,1990
Antigua and Barbuda,Saint Lucia,392.0,1990
Antigua and Barbuda,Saint Vincent and the Grenadines,478.0,1990
Antigua and Barbuda,Sint Maarten (Dutch part),8.0,1990
Antigua and Barbuda,South Africa,19.0,1990
Antigua and Barbuda,Spain,5.0,1990
Antigua and Barbuda,Suriname,9.0,1990
Antigua and Barbuda,Syrian Arab Republic,142.0,1990
Antigua and Barbuda,Trinidad and Tobago,356.0,1990
Antigua and Barbuda,Turks and Caicos Islands,4.0,1990
Antigua and Barbuda,United Kingdom of Great Britain and Northern Ireland,623.0,1990
Antigua and Barbuda,United States of America,1308.0,1990
Antigua and Barbuda,United States Virgin Islands,295.0,1990
Antigua and Barbuda,Venezuela (Bolivarian Republic of),11.0,1990
Argentina,Afghanistan,20.0,1990
Argentina,Albania,148.0,1990
Argentina,Algeria,229.0,1990
Argentina,Andorra,1.0,1990
Argentina,Angola,20.0,1990
Argentina,Armenia,1236.0,1990
Argentina,Aruba,1.0,1990
Argentina,Australia,625.0,1990
Argentina,Austria,4256.0,1990
Argentina,Bahrain,28.0,1990
Argentina,Barbados,16.0,1990
Argentina,Belarus,669.0,1990
Argentina,Belgium,1151.0,1990
Argentina,Belize,12.0,1990
Argentina,Bolivia (Plurinational State of),147234.0,1990
Argentina,Brazil,34359.0,1990
Argentina,Brunei Darussalam,2.0,1990
Argentina,Bulgaria,975.0,1990
Argentina,Burkina Faso,26.0,1990
Argentina,Cabo Verde,51.0,1990
Argentina,Cambodia,46.0,1990
Argentina,Canada,796.0,1990
Argentina,Chile,223528.0,1990
Argentina,China,4268.0,1990
Argentina,"China, Hong Kong Special Administrative Region",9.0,1990
Argentina,Colombia,2702.0,1990
Argentina,Congo,92.0,1990
Argentina,Costa Rica,462.0,1990
Argentina,Cote d'Ivoire,1.0,1990
Argentina,Croatia,2171.0,1990
Argentina,Cuba,1427.0,1990
Argentina,Cyprus,103.0,1990
Argentina,Czech Republic,3946.0,1990
Argentina,Democratic People's Republic of Korea,31.0,1990
Argentina,Denmark,540.0,1990
Argentina,Dominica,9.0,1990
Argentina,Dominican Republic,265.0,1990
Argentina,Ecuador,999.0,1990
Argentina,Egypt,522.0,1990
Argentina,El Salvador,182.0,1990
Argentina,Estonia,109.0,1990
Argentina,Ethiopia,71.0,1990
Argentina,Fiji,1.0,1990
Argentina,Finland,156.0,1990
Argentina,France,6463.0,1990
Argentina,Germany,15674.0,1990
Argentina,Gibraltar,32.0,1990
Argentina,Greece,3197.0,1990
Argentina,Greenland,36.0,1990
Argentina,Grenada,25.0,1990
Argentina,Guatemala,116.0,1990
Argentina,Guinea,1.0,1990
Argentina,Haiti,75.0,1990
Argentina,Honduras,141.0,1990
Argentina,Hungary,3297.0,1990
Argentina,Iceland,18.0,1990
Argentina,India,215.0,1990
Argentina,Indonesia,47.0,1990
Argentina,Iran (Islamic Republic of),302.0,1990
Argentina,Iraq,81.0,1990
Argentina,Ireland,143.0,1990
Argentina,Israel,1466.0,1990
Argentina,Italy,336040.0,1990
Argentina,Jamaica,27.0,1990
Argentina,Japan,5812.0,1990
Argentina,Jordan,160.0,1990
Argentina,Kenya,6.0,1990
Argentina,Lao People's Democratic Republic,539.0,1990
Argentina,Latvia,270.0,1990
Argentina,Lebanon,3248.0,1990
Argentina,Libya,113.0,1990
Argentina,Liechtenstein,170.0,1990
Argentina,Lithuania,1980.0,1990
Argentina,Luxembourg,213.0,1990
Argentina,Madagascar,14.0,1990
Argentina,Malaysia,6.0,1990
Argentina,Malta,4.0,1990
Argentina,Mexico,2332.0,1990
Argentina,Micronesia (Federated States of),9.0,1990
Argentina,Monaco,23.0,1990
Argentina,Morocco,466.0,1990
Argentina,Mozambique,25.0,1990
Argentina,Myanmar,19.0,1990
Argentina,Namibia,4.0,1990
Argentina,Netherlands,943.0,1990
Argentina,New Zealand,24.0,1990
Argentina,Nicaragua,145.0,1990
Argentina,Niger,1.0,1990
Argentina,Nigeria,93.0,1990
Argentina,Norway,129.0,1990
Argentina,Pakistan,10.0,1990
Argentina,Panama,376.0,1990
Argentina,Paraguay,257243.0,1990
Argentina,Peru,16366.0,1990
Argentina,Philippines,128.0,1990
Argentina,Poland,29520.0,1990
Argentina,Portugal,13551.0,1990
Argentina,Puerto Rico,210.0,1990
Argentina,Republic of Korea,10229.0,1990
Argentina,Republic of Moldova,1003.0,1990
Argentina,Romania,3713.0,1990
Argentina,Russian Federation,5016.0,1990
Argentina,San Marino,37.0,1990
Argentina,Saudi Arabia,175.0,1990
Argentina,Singapore,4.0,1990
Argentina,Slovenia,1783.0,1990
Argentina,Somalia,4.0,1990
Argentina,South Africa,278.0,1990
Argentina,Spain,229535.0,1990
Argentina,Sri Lanka,6.0,1990
Argentina,Sudan,18.0,1990
Argentina,Suriname,11.0,1990
Argentina,Sweden,566.0,1990
Argentina,Switzerland,2175.0,1990
Argentina,Syrian Arab Republic,4931.0,1990
Argentina,Thailand,133.0,1990
Argentina,The former Yugoslav Republic of Macedonia,13164.0,1990
Argentina,Trinidad and Tobago,75.0,1990
Argentina,Tunisia,99.0,1990
Argentina,Turkey,2498.0,1990
Argentina,Tuvalu,8.0,1990
Argentina,Uganda,1.0,1990
Argentina,Ukraine,3583.0,1990
Argentina,United Kingdom of Great Britain and Northern Ireland,2391.0,1990
Argentina,United Republic of Tanzania,1.0,1990
Argentina,United States of America,9992.0,1990
Argentina,Uruguay,136906.0,1990
Argentina,Vanuatu,18.0,1990
Argentina,Venezuela (Bolivarian Republic of),1981.0,1990
Argentina,Viet Nam,11.0,1990
Argentina,Zambia,1.0,1990
Argentina,Zimbabwe,3.0,1990
Armenia,Azerbaijan,464459.0,1990
Armenia,Belarus,1280.0,1990
Armenia,Georgia,1646.0,1990
Armenia,Germany,660.0,1990
Armenia,Greece,5612.0,1990
Armenia,Iran (Islamic Republic of),9654.0,1990
Armenia,Kazakhstan,787.0,1990
Armenia,Lebanon,1129.0,1990
Armenia,Russian Federation,62218.0,1990
Armenia,Syrian Arab Republic,3225.0,1990
Armenia,Turkey,1956.0,1990
Armenia,Turkmenistan,820.0,1990
Armenia,Ukraine,10066.0,1990
Armenia,Uzbekistan,1150.0,1990
Aruba,"Bonaire, Sint Eustatius and Saba",53.0,1990
Aruba,China,247.0,1990
Aruba,Colombia,1849.0,1990
Aruba,Curacao,438.0,1990
Aruba,Dominica,143.0,1990
Aruba,Dominican Republic,2042.0,1990
Aruba,Grenada,294.0,1990
Aruba,Guyana,107.0,1990
Aruba,Haiti,320.0,1990
Aruba,India,39.0,1990
Aruba,Jamaica,162.0,1990
Aruba,Netherlands,2096.0,1990
Aruba,Nicaragua,19.0,1990
Aruba,Peru,141.0,1990
Aruba,Philippines,217.0,1990
Aruba,Portugal,177.0,1990
Aruba,Saint Vincent and the Grenadines,225.0,1990
Aruba,Sint Maarten (Dutch part),125.0,1990
Aruba,Suriname,721.0,1990
Aruba,Turkey,115.0,1990
Aruba,United States of America,425.0,1990
Aruba,Venezuela (Bolivarian Republic of),1144.0,1990
Australia,Afghanistan,2729.0,1990
Australia,Albania,984.0,1990
Australia,Algeria,665.0,1990
Australia,American Samoa,64.0,1990
Australia,Andorra,333.0,1990
Australia,Angola,310.0,1990
Australia,Antigua and Barbuda,21.0,1990
Australia,Argentina,13155.0,1990
Australia,Armenia,388.0,1990
Australia,Aruba,26.0,1990
Australia,Austria,22977.0,1990
Australia,Azerbaijan,99.0,1990
Australia,Bahamas,178.0,1990
Australia,Bahrain,493.0,1990
Australia,Bangladesh,2315.0,1990
Australia,Barbados,301.0,1990
Australia,Belarus,260.0,1990
Australia,Belgium,4620.0,1990
Australia,Belize,34.0,1990
Australia,Benin,17.0,1990
Australia,Bermuda,351.0,1990
Australia,Bhutan,25.0,1990
Australia,Bolivia (Plurinational State of),509.0,1990
Australia,Bosnia and Herzegovina,22312.0,1990
Australia,Botswana,153.0,1990
Australia,Brazil,2926.0,1990
Australia,British Virgin Islands,6.0,1990
Australia,Brunei Darussalam,1620.0,1990
Australia,Bulgaria,1755.0,1990
Australia,Burkina Faso,30.0,1990
Australia,Burundi,15.0,1990
Australia,Cabo Verde,20.0,1990
Australia,Cambodia,20651.0,1990
Australia,Cameroon,68.0,1990
Australia,Canada,27452.0,1990
Australia,Cayman Islands,3.0,1990
Australia,Central African Republic,6.0,1990
Australia,Chad,15.0,1990
Australia,Chile,29145.0,1990
Australia,China,97526.0,1990
Australia,"China, Hong Kong Special Administrative Region",57852.0,1990
Australia,"China, Macao Special Administrative Region",1699.0,1990
Australia,Colombia,2106.0,1990
Australia,Congo,134.0,1990
Australia,Cook Islands,2295.0,1990
Australia,Costa Rica,236.0,1990
Australia,Cote d'Ivoire,34.0,1990
Australia,Croatia,48565.0,1990
Australia,Cuba,361.0,1990
Australia,Curacao,35.0,1990
Australia,Cyprus,24036.0,1990
Australia,Czech Republic,17760.0,1990
Australia,Democratic People's Republic of Korea,50.0,1990
Australia,Democratic Republic of the Congo,255.0,1990
Australia,Denmark,9739.0,1990
Australia,Djibouti,34.0,1990
Australia,Dominica,6.0,1990
Australia,Dominican Republic,23.0,1990
Australia,Ecuador,1085.0,1990
Australia,Egypt,40628.0,1990
Australia,El Salvador,8774.0,1990
Australia,Eritrea,1272.0,1990
Australia,Estonia,2731.0,1990
Australia,Ethiopia,1336.0,1990
Australia,Faeroe Islands,17.0,1990
Australia,Falkland Islands (Malvinas),78.0,1990
Australia,Fiji,37472.0,1990
Australia,Finland,9718.0,1990
Australia,France,15533.0,1990
Australia,French Guiana,6.0,1990
Australia,French Polynesia,236.0,1990
Australia,Gabon,20.0,1990
Australia,Gambia,18.0,1990
Australia,Georgia,17.0,1990
Australia,Germany,126452.0,1990
Australia,Ghana,994.0,1990
Australia,Gibraltar,409.0,1990
Australia,Greece,148090.0,1990
Australia,Grenada,89.0,1990
Australia,Guadeloupe,9.0,1990
Australia,Guam,40.0,1990
Australia,Guatemala,217.0,1990
Australia,Guinea,33.0,1990
Australia,Guinea-Bissau,13.0,1990
Australia,Guyana,426.0,1990
Australia,Haiti,43.0,1990
Australia,Honduras,124.0,1990
Australia,Hungary,29103.0,1990
Australia,Iceland,342.0,1990
Australia,India,69928.0,1990
Australia,Indonesia,39102.0,1990
Australia,Iran (Islamic Republic of),17599.0,1990
Australia,Iraq,5202.0,1990
Australia,Ireland,51999.0,1990
Australia,Isle of Man,731.0,1990
Australia,Israel,7756.0,1990
Australia,Italy,271095.0,1990
Australia,Jamaica,662.0,1990
Australia,Japan,21752.0,1990
Australia,Jordan,2175.0,1990
Australia,Kazakhstan,297.0,1990
Australia,Kenya,4680.0,1990
Australia,Kiribati,428.0,1990
Australia,Kuwait,919.0,1990
Australia,Kyrgyzstan,101.0,1990
Australia,Lao People's Democratic Republic,11172.0,1990
Australia,Latvia,10144.0,1990
Australia,Lebanon,81858.0,1990
Australia,Lesotho,43.0,1990
Australia,Liberia,63.0,1990
Australia,Libya,1268.0,1990
Australia,Liechtenstein,16.0,1990
Australia,Lithuania,4818.0,1990
Australia,Luxembourg,125.0,1990
Australia,Madagascar,137.0,1990
Australia,Malawi,360.0,1990
Australia,Malaysia,72135.0,1990
Australia,Maldives,80.0,1990
Australia,Mali,24.0,1990
Australia,Malta,57407.0,1990
Australia,Marshall Islands,26.0,1990
Australia,Martinique,20.0,1990
Australia,Mauritania,16.0,1990
Australia,Mauritius,20215.0,1990
Australia,Mexico,777.0,1990
Australia,Micronesia (Federated States of),6.0,1990
Australia,Monaco,37.0,1990
Australia,Mongolia,36.0,1990
Australia,Montenegro,1297.0,1990
Australia,Morocco,984.0,1990
Australia,Mozambique,386.0,1990
Australia,Myanmar,9884.0,1990
Australia,Namibia,265.0,1990
Australia,Nauru,463.0,1990
Australia,Nepal,404.0,1990
Australia,Netherlands,104866.0,1990
Australia,New Caledonia,1190.0,1990
Australia,New Zealand,298309.0,1990
Australia,Nicaragua,725.0,1990
Australia,Niger,15.0,1990
Australia,Nigeria,959.0,1990
Australia,Niue,243.0,1990
Australia,Northern Mariana Islands,6.0,1990
Australia,Norway,2622.0,1990
Australia,Oman,45.0,1990
Australia,Pakistan,5949.0,1990
Australia,Panama,118.0,1990
Australia,Paraguay,277.0,1990
Australia,Peru,3795.0,1990
Australia,Philippines,90580.0,1990
Australia,Poland,74954.0,1990
Australia,Portugal,19115.0,1990
Australia,Puerto Rico,46.0,1990
Australia,Qatar,97.0,1990
Australia,Republic of Korea,23735.0,1990
Australia,Republic of Moldova,15.0,1990
Australia,R¨¦union,51.0,1990
Australia,Romania,12241.0,1990
Australia,Russian Federation,8365.0,1990
Australia,Rwanda,44.0,1990
Australia,Saint Helena,31.0,1990
Australia,Saint Kitts and Nevis,17.0,1990
Australia,Saint Lucia,16.0,1990
Australia,Saint Vincent and the Grenadines,22.0,1990
Australia,Samoa,5709.0,1990
Australia,Saudi Arabia,586.0,1990
Australia,Senegal,149.0,1990
Australia,Serbia,44312.0,1990
Australia,Seychelles,2610.0,1990
Australia,Sierra Leone,120.0,1990
Australia,Singapore,27151.0,1990
Australia,Slovakia,2697.0,1990
Australia,Slovenia,7227.0,1990
Australia,Solomon Islands,1052.0,1990
Australia,Somalia,361.0,1990
Australia,South Africa,58684.0,1990
Australia,Spain,15097.0,1990
Australia,Sri Lanka,46660.0,1990
Australia,State of Palestine,2753.0,1990
Australia,Sudan,1218.0,1990
Australia,Suriname,68.0,1990
Australia,Swaziland,117.0,1990
Australia,Sweden,5694.0,1990
Australia,Switzerland,9905.0,1990
Australia,Syrian Arab Republic,5351.0,1990
Australia,Tajikistan,41.0,1990
Australia,Thailand,15834.0,1990
Australia,The former Yugoslav Republic of Macedonia,40724.0,1990
Australia,Timor-Leste,9518.0,1990
Australia,Togo,12.0,1990
Australia,Tokelau,53.0,1990
Australia,Tonga,6163.0,1990
Australia,Trinidad and Tobago,920.0,1990
Australia,Tunisia,411.0,1990
Australia,Turkey,33246.0,1990
Australia,Turkmenistan,25.0,1990
Australia,Tuvalu,71.0,1990
Australia,Uganda,925.0,1990
Australia,Ukraine,12428.0,1990
Australia,United Arab Emirates,561.0,1990
Australia,United Kingdom of Great Britain and Northern Ireland,1111203.0,1990
Australia,United Republic of Tanzania,1422.0,1990
Australia,United States of America,53575.0,1990
Australia,Uruguay,11795.0,1990
Australia,Uzbekistan,245.0,1990
Australia,Vanuatu,861.0,1990
Australia,Venezuela (Bolivarian Republic of),606.0,1990
Australia,Viet Nam,136918.0,1990
Australia,Yemen,221.0,1990
Australia,Zambia,2312.0,1990
Australia,Zimbabwe,8265.0,1990
Austria,Afghanistan,4748.0,1990
Austria,Albania,1733.0,1990
Austria,Algeria,711.0,1990
Austria,Andorra,1.0,1990
Austria,Angola,188.0,1990
Austria,Antigua and Barbuda,4.0,1990
Austria,Argentina,839.0,1990
Austria,Armenia,1681.0,1990
Austria,Australia,1371.0,1990
Austria,Azerbaijan,592.0,1990
Austria,Bahamas,13.0,1990
Austria,Bahrain,12.0,1990
Austria,Bangladesh,1508.0,1990
Austria,Barbados,12.0,1990
Austria,Belarus,918.0,1990
Austria,Belgium,1418.0,1990
Austria,Belize,22.0,1990
Austria,Benin,44.0,1990
Austria,Bermuda,10.0,1990
Austria,Bhutan,14.0,1990
Austria,Bolivia (Plurinational State of),280.0,1990
Austria,Bosnia and Herzegovina,92349.0,1990
Austria,Botswana,15.0,1990
Austria,Brazil,2857.0,1990
Austria,Brunei Darussalam,3.0,1990
Austria,Bulgaria,8666.0,1990
Austria,Burkina Faso,67.0,1990
Austria,Burundi,53.0,1990
Austria,Cabo Verde,22.0,1990
Austria,Cambodia,528.0,1990
Austria,Cameroon,360.0,1990
Austria,Canada,1402.0,1990
Austria,Central African Republic,16.0,1990
Austria,Chad,7.0,1990
Austria,Chile,693.0,1990
Austria,China,9703.0,1990
Austria,"China, Hong Kong Special Administrative Region",154.0,1990
Austria,"China, Macao Special Administrative Region",9.0,1990
Austria,Colombia,864.0,1990
Austria,Congo,252.0,1990
Austria,Costa Rica,99.0,1990
Austria,Cote d'Ivoire,118.0,1990
Austria,Croatia,43774.0,1990
Austria,Cuba,485.0,1990
Austria,Cyprus,178.0,1990
Austria,Czech Republic,30293.0,1990
Austria,Democratic People's Republic of Korea,1550.0,1990
Austria,Democratic Republic of the Congo,386.0,1990
Austria,Denmark,782.0,1990
Austria,Djibouti,4.0,1990
Austria,Dominica,28.0,1990
Austria,Dominican Republic,1722.0,1990
Austria,Ecuador,364.0,1990
Austria,Egypt,8202.0,1990
Austria,El Salvador,38.0,1990
Austria,Equatorial Guinea,6.0,1990
Austria,Eritrea,57.0,1990
Austria,Estonia,206.0,1990
Austria,Ethiopia,703.0,1990
Austria,Fiji,10.0,1990
Austria,Finland,880.0,1990
Austria,France,4939.0,1990
Austria,Gabon,14.0,1990
Austria,Gambia,346.0,1990
Austria,Georgia,1827.0,1990
Austria,Germany,100832.0,1990
Austria,Ghana,1363.0,1990
Austria,Greece,2205.0,1990
Austria,Grenada,8.0,1990
Austria,Guam,1.0,1990
Austria,Guatemala,206.0,1990
Austria,Guinea,166.0,1990
Austria,Guinea-Bissau,38.0,1990
Austria,Guyana,10.0,1990
Austria,Haiti,35.0,1990
Austria,Honduras,54.0,1990
Austria,Hungary,14405.0,1990
Austria,Iceland,104.0,1990
Austria,India,7478.0,1990
Austria,Indonesia,669.0,1990
Austria,Iran (Islamic Republic of),8535.0,1990
Austria,Iraq,3043.0,1990
Austria,Ireland,544.0,1990
Austria,Israel,1412.0,1990
Austria,Italy,18566.0,1990
Austria,Jamaica,115.0,1990
Austria,Japan,1636.0,1990
Austria,Jordan,412.0,1990
Austria,Kazakhstan,608.0,1990
Austria,Kenya,542.0,1990
Austria,Kuwait,140.0,1990
Austria,Kyrgyzstan,357.0,1990
Austria,Lao People's Democratic Republic,69.0,1990
Austria,Latvia,445.0,1990
Austria,Lebanon,1015.0,1990
Austria,Lesotho,3.0,1990
Austria,Liberia,150.0,1990
Austria,Libya,254.0,1990
Austria,Liechtenstein,208.0,1990
Austria,Lithuania,501.0,1990
Austria,Luxembourg,420.0,1990
Austria,Madagascar,42.0,1990
Austria,Malawi,21.0,1990
Austria,Malaysia,266.0,1990
Austria,Maldives,5.0,1990
Austria,Mali,54.0,1990
Austria,Malta,60.0,1990
Austria,Mauritania,19.0,1990
Austria,Mauritius,63.0,1990
Austria,Mexico,832.0,1990
Austria,Micronesia (Federated States of),1.0,1990
Austria,Monaco,14.0,1990
Austria,Mongolia,993.0,1990
Austria,Montenegro,12031.0,1990
Austria,Morocco,1061.0,1990
Austria,Mozambique,37.0,1990
Austria,Myanmar,39.0,1990
Austria,Namibia,101.0,1990
Austria,Nauru,1.0,1990
Austria,Nepal,323.0,1990
Austria,Netherlands,4668.0,1990
Austria,New Zealand,244.0,1990
Austria,Nicaragua,115.0,1990
