destination,origin,num,year
Afghanistan,Pakistan,54102.0,2019
Afghanistan,Tajikistan,1913.0,2019
Afghanistan,Uzbekistan,95.0,2019
Albania,Canada,691.0,2019
Albania,Greece,14326.0,2019
Albania,Italy,4519.0,2019
Albania,North Macedonia,248.0,2019
Albania,Turkey,1270.0,2019
Albania,United States of America,1408.0,2019
Algeria,France,237.0,2019
Algeria,Germany,257.0,2019
Algeria,Indonesia,1053.0,2019
Algeria,Iraq,3590.0,2019
Algeria,Italy,282.0,2019
Algeria,Jordan,1182.0,2019
Algeria,Kuwait,779.0,2019
Algeria,Lebanon,469.0,2019
Algeria,Libya,1215.0,2019
Algeria,Malaysia,599.0,2019
Algeria,Russian Federation,331.0,2019
Algeria,Saudi Arabia,2397.0,2019
Algeria,Somalia,6320.0,2019
Algeria,State of Palestine,16803.0,2019
Algeria,Sudan,840.0,2019
Algeria,Syrian Arab Republic,1609.0,2019
Algeria,United Kingdom,332.0,2019
Algeria,United States of America,509.0,2019
Algeria,Western Sahara,87310.0,2019
Algeria,Yemen,1355.0,2019
American Samoa,China,416.0,2019
American Samoa,Fiji,167.0,2019
American Samoa,New Zealand,366.0,2019
American Samoa,Philippines,623.0,2019
American Samoa,Republic of Korea,151.0,2019
American Samoa,Samoa,7944.0,2019
American Samoa,Tokelau,10.0,2019
American Samoa,Tonga,676.0,2019
American Samoa,United States of America,1268.0,2019
American Samoa,Viet Nam,107.0,2019
Andorra,Argentina,375.0,2019
Andorra,Australia,69.0,2019
Andorra,Belgium,128.0,2019
Andorra,Chile,124.0,2019
Andorra,Denmark,119.0,2019
Andorra,France,2272.0,2019
Andorra,Germany,195.0,2019
Andorra,Italy,261.0,2019
Andorra,Morocco,271.0,2019
Andorra,Netherlands,144.0,2019
Andorra,Philippines,248.0,2019
Andorra,Portugal,6139.0,2019
Andorra,Spain,10906.0,2019
Andorra,Sweden,52.0,2019
Andorra,Switzerland,85.0,2019
Andorra,United Kingdom,610.0,2019
Andorra,United States of America,64.0,2019
Andorra,Uruguay,59.0,2019
Angola,Cabo Verde,4758.0,2019
Angola,Chad,1157.0,2019
Angola,Congo,461.0,2019
Angola,Cote d'Ivoire,7738.0,2019
Angola,Democratic Republic of the Congo,55346.0,2019
Angola,Guinea,11103.0,2019
Angola,Mozambique,128.0,2019
Angola,Namibia,451.0,2019
Angola,Portugal,2856.0,2019
Angola,Rwanda,578.0,2019
Angola,Sao Tome and Principe,3422.0,2019
Angola,South Africa,3173.0,2019
Angola,Zambia,120.0,2019
Anguilla,Canada,17.0,2019
Anguilla,Dominican Republic,436.0,2019
Anguilla,Guyana,234.0,2019
Anguilla,Jamaica,275.0,2019
Anguilla,Montserrat,208.0,2019
Anguilla,Saint Kitts and Nevis,611.0,2019
Anguilla,United Kingdom,148.0,2019
Anguilla,United States of America,136.0,2019
Anguilla,United States Virgin Islands,150.0,2019
Antigua and Barbuda,Anguilla,20.0,2019
Antigua and Barbuda,Aruba,3.0,2019
Antigua and Barbuda,Australia,4.0,2019
Antigua and Barbuda,Bahamas,1.0,2019
Antigua and Barbuda,Barbados,185.0,2019
Antigua and Barbuda,Belize,8.0,2019
Antigua and Barbuda,Bermuda,9.0,2019
Antigua and Barbuda,"Bonaire, Sint Eustatius and Saba",5.0,2019
