destination,origin,num,year
Afghanistan,Pakistan,17225.0,1995
Afghanistan,Tajikistan,36733.0,1995
Afghanistan,Uzbekistan,1836.0,1995
Albania,Canada,1244.0,1995
Albania,Greece,43331.0,1995
Albania,Italy,12200.0,1995
Albania,The former Yugoslav Republic of Macedonia,732.0,1995
Albania,Turkey,2690.0,1995
Albania,United States of America,3255.0,1995
Algeria,France,1321.0,1995
Algeria,Germany,3661.0,1995
Algeria,Indonesia,1223.0,1995
Algeria,Iraq,4249.0,1995
Algeria,Italy,1942.0,1995
Algeria,Jordan,2272.0,1995
Algeria,Kuwait,1308.0,1995
Algeria,Lebanon,1395.0,1995
Algeria,Libya,2154.0,1995
Algeria,Malaysia,1264.0,1995
Algeria,Russian Federation,3545.0,1995
Algeria,Saudi Arabia,3497.0,1995
Algeria,Somalia,6248.0,1995
Algeria,State of Palestine,33836.0,1995
Algeria,Sudan,5362.0,1995
Algeria,Syrian Arab Republic,3312.0,1995
Algeria,United Kingdom of Great Britain and Northern Ireland,1430.0,1995
Algeria,United States of America,2802.0,1995
Algeria,Western Sahara,166903.0,1995
Algeria,Yemen,2480.0,1995
American Samoa,China,200.0,1995
American Samoa,Fiji,101.0,1995
American Samoa,New Zealand,233.0,1995
American Samoa,Philippines,520.0,1995
American Samoa,Republic of Korea,192.0,1995
American Samoa,Samoa,16157.0,1995
American Samoa,Tokelau,29.0,1995
American Samoa,Tonga,1223.0,1995
American Samoa,United States of America,3544.0,1995
American Samoa,Viet Nam,102.0,1995
Andorra,Argentina,118.0,1995
Andorra,Australia,39.0,1995
Andorra,Belgium,241.0,1995
Andorra,Chile,63.0,1995
Andorra,Denmark,111.0,1995
Andorra,France,4216.0,1995
Andorra,Germany,351.0,1995
Andorra,Italy,130.0,1995
Andorra,Morocco,383.0,1995
Andorra,Netherlands,209.0,1995
Andorra,Philippines,222.0,1995
Andorra,Portugal,5364.0,1995
Andorra,Spain,26972.0,1995
Andorra,Sweden,52.0,1995
Andorra,Switzerland,69.0,1995
Andorra,United Kingdom of Great Britain and Northern Ireland,975.0,1995
Andorra,United States of America,95.0,1995
Andorra,Uruguay,78.0,1995
Angola,Cabo Verde,4147.0,1995
Angola,Chad,14.0,1995
Angola,Congo,477.0,1995
Angola,Cote d'Ivoire,6.0,1995
Angola,Democratic Republic of the Congo,14957.0,1995
Angola,Guinea,152.0,1995
Angola,Mozambique,113.0,1995
Angola,Namibia,401.0,1995
Angola,Portugal,6156.0,1995
Angola,Rwanda,115.0,1995
Angola,Sao Tome and Principe,3617.0,1995
Angola,South Africa,2832.0,1995
Angola,Zambia,139.0,1995
Anguilla,Canada,61.0,1995
Anguilla,Dominican Republic,415.0,1995
Anguilla,Guyana,245.0,1995
Anguilla,Jamaica,292.0,1995
Anguilla,Montserrat,180.0,1995
Anguilla,Saint Kitts and Nevis,540.0,1995
Anguilla,United Kingdom of Great Britain and Northern Ireland,259.0,1995
Anguilla,United States of America,310.0,1995
Anguilla,United States Virgin Islands,261.0,1995
Antigua and Barbuda,Anguilla,25.0,1995
Antigua and Barbuda,Aruba,6.0,1995
Antigua and Barbuda,Australia,7.0,1995
Antigua and Barbuda,Bahamas,4.0,1995
Antigua and Barbuda,Barbados,226.0,1995
Antigua and Barbuda,Belize,10.0,1995
Antigua and Barbuda,Bermuda,10.0,1995
Antigua and Barbuda,"Bonaire, Sint Eustatius and Saba",7.0,1995
Antigua and Barbuda,British Virgin Islands,73.0,1995
Antigua and Barbuda,Canada,287.0,1995
Antigua and Barbuda,China,84.0,1995
Antigua and Barbuda,Cuba,15.0,1995
Antigua and Barbuda,Curacao,13.0,1995
Antigua and Barbuda,Dominica,3170.0,1995
Antigua and Barbuda,Dominican Republic,1044.0,1995
Antigua and Barbuda,Egypt,10.0,1995
Antigua and Barbuda,Ethiopia,38.0,1995
Antigua and Barbuda,France,33.0,1995
Antigua and Barbuda,French Guiana,4.0,1995
Antigua and Barbuda,Germany,57.0,1995
Antigua and Barbuda,Ghana,18.0,1995
Antigua and Barbuda,Grenada,137.0,1995
Antigua and Barbuda,Guadeloupe,54.0,1995
Antigua and Barbuda,Guyana,3489.0,1995
Antigua and Barbuda,Haiti,19.0,1995
Antigua and Barbuda,Honduras,5.0,1995
Antigua and Barbuda,India,49.0,1995
Antigua and Barbuda,Italy,54.0,1995
Antigua and Barbuda,Jamaica,1832.0,1995
Antigua and Barbuda,Japan,10.0,1995
Antigua and Barbuda,Lebanon,46.0,1995
Antigua and Barbuda,Martinique,5.0,1995
Antigua and Barbuda,Mexico,4.0,1995
Antigua and Barbuda,Montserrat,890.0,1995
Antigua and Barbuda,Netherlands,15.0,1995
Antigua and Barbuda,New Zealand,7.0,1995
Antigua and Barbuda,Nigeria,34.0,1995
Antigua and Barbuda,Pakistan,4.0,1995
Antigua and Barbuda,Puerto Rico,37.0,1995
Antigua and Barbuda,Saint Kitts and Nevis,430.0,1995
Antigua and Barbuda,Saint Lucia,474.0,1995
Antigua and Barbuda,Saint Vincent and the Grenadines,616.0,1995
Antigua and Barbuda,Sint Maarten (Dutch part),14.0,1995
Antigua and Barbuda,South Africa,28.0,1995
Antigua and Barbuda,Spain,8.0,1995
Antigua and Barbuda,Suriname,23.0,1995
Antigua and Barbuda,Syrian Arab Republic,171.0,1995
Antigua and Barbuda,Trinidad and Tobago,474.0,1995
Antigua and Barbuda,Turks and Caicos Islands,5.0,1995
