origin,destination,num,year
Afghanistan,Argentina,9.0,2010
Afghanistan,Australia,30880.0,2010
Afghanistan,Austria,7370.0,2010
Afghanistan,Azerbaijan,195.0,2010
Afghanistan,Bahrain,613.0,2010
Afghanistan,Belarus,270.0,2010
Afghanistan,Belgium,2040.0,2010
Afghanistan,Bolivia (Plurinational State of),1.0,2010
Afghanistan,Brazil,57.0,2010
Afghanistan,Bulgaria,286.0,2010
Afghanistan,Canada,40922.0,2010
Afghanistan,Chile,9.0,2010
Afghanistan,Colombia,108.0,2010
Afghanistan,Costa Rica,4.0,2010
Afghanistan,Cyprus,10.0,2010
Afghanistan,Czech Republic,320.0,2010
Afghanistan,Denmark,10340.0,2010
Afghanistan,Ecuador,38.0,2010
Afghanistan,Egypt,198.0,2010
Afghanistan,Estonia,13.0,2010
Afghanistan,Finland,2735.0,2010
Afghanistan,France,4401.0,2010
Afghanistan,Germany,96318.0,2010
Afghanistan,Greece,6470.0,2010
Afghanistan,Hungary,782.0,2010
Afghanistan,Iceland,6.0,2010
Afghanistan,India,8387.0,2010
Afghanistan,Iran (Islamic Republic of),2372090.0,2010
Afghanistan,Iraq,311.0,2010
Afghanistan,Ireland,145.0,2010
Afghanistan,Israel,2462.0,2010
Afghanistan,Italy,6567.0,2010
Afghanistan,Jordan,142.0,2010
Afghanistan,Kuwait,1743.0,2010
Afghanistan,Latvia,25.0,2010
Afghanistan,Libya,284.0,2010
Afghanistan,Lithuania,24.0,2010
Afghanistan,Malaysia,478.0,2010
Afghanistan,Namibia,43.0,2010
Afghanistan,Netherlands,31153.0,2010
Afghanistan,New Zealand,2314.0,2010
Afghanistan,Nicaragua,57.0,2010
Afghanistan,Norway,8864.0,2010
Afghanistan,Pakistan,1908909.0,2010
Afghanistan,Philippines,1201.0,2010
Afghanistan,Poland,147.0,2010
Afghanistan,Qatar,1356.0,2010
Afghanistan,Russian Federation,4999.0,2010
Afghanistan,Saudi Arabia,280395.0,2010
Afghanistan,Slovakia,126.0,2010
Afghanistan,Slovenia,5.0,2010
Afghanistan,South Africa,69.0,2010
Afghanistan,Spain,439.0,2010
Afghanistan,Sri Lanka,129.0,2010
Afghanistan,Sweden,14420.0,2010
Afghanistan,Switzerland,3926.0,2010
Afghanistan,Syrian Arab Republic,1611.0,2010
Afghanistan,Tajikistan,8900.0,2010
Afghanistan,Thailand,1.0,2010
Afghanistan,Turkey,11022.0,2010
Afghanistan,Ukraine,2105.0,2010
Afghanistan,United Arab Emirates,6878.0,2010
Afghanistan,United Kingdom of Great Britain and Northern Ireland,60757.0,2010
Afghanistan,United States of America,56397.0,2010
Albania,Argentina,66.0,2010
Albania,Australia,2930.0,2010
Albania,Austria,2690.0,2010
Albania,Belgium,3874.0,2010
Albania,Bolivia (Plurinational State of),1.0,2010
Albania,Bulgaria,1086.0,2010
Albania,Canada,13659.0,2010
Albania,Chile,15.0,2010
Albania,Colombia,46.0,2010
Albania,Costa Rica,4.0,2010
Albania,Croatia,172.0,2010
Albania,Cuba,114.0,2010
Albania,Cyprus,296.0,2010
Albania,Czech Republic,264.0,2010
Albania,Denmark,261.0,2010
Albania,Ecuador,49.0,2010
Albania,Egypt,113.0,2010
Albania,Estonia,7.0,2010
Albania,Finland,193.0,2010
Albania,France,6189.0,2010
Albania,Germany,17442.0,2010
Albania,Greece,446942.0,2010
Albania,Hungary,189.0,2010
Albania,Iceland,40.0,2010
Albania,Ireland,291.0,2010
Albania,Italy,447510.0,2010
Albania,Latvia,7.0,2010
Albania,Libya,267.0,2010
Albania,Luxembourg,197.0,2010
Albania,Malta,72.0,2010
Albania,Montenegro,2015.0,2010
Albania,Netherlands,897.0,2010
Albania,Norway,438.0,2010
Albania,Philippines,114.0,2010
