origin,destination,num,year
Afghanistan,Argentina,19.0,1990
Afghanistan,Australia,1274.0,1990
Afghanistan,Austria,1554.0,1990
Afghanistan,Azerbaijan,79.0,1990
Afghanistan,Bahrain,61.0,1990
Afghanistan,Belarus,34.0,1990
Afghanistan,Belgium,47.0,1990
Afghanistan,Bolivia (Plurinational State of),1.0,1990
Afghanistan,Bulgaria,77.0,1990
Afghanistan,Canada,2731.0,1990
Afghanistan,Colombia,45.0,1990
Afghanistan,Costa Rica,14.0,1990
Afghanistan,Czechia,14.0,1990
Afghanistan,Denmark,142.0,1990
Afghanistan,Ecuador,7.0,1990
Afghanistan,Egypt,43.0,1990
Afghanistan,France,1437.0,1990
Afghanistan,Germany,12037.0,1990
Afghanistan,Greece,119.0,1990
Afghanistan,Hungary,152.0,1990
Afghanistan,India,6900.0,1990
Afghanistan,Iran (Islamic Republic of),1335672.0,1990
Afghanistan,Iraq,81.0,1990
Afghanistan,Ireland,5.0,1990
Afghanistan,Israel,1442.0,1990
Afghanistan,Italy,60.0,1990
Afghanistan,Jordan,31.0,1990
Afghanistan,Kuwait,526.0,1990
Afghanistan,Latvia,12.0,1990
Afghanistan,Libya,121.0,1990
Afghanistan,Lithuania,14.0,1990
Afghanistan,Malaysia,14.0,1990
Afghanistan,Namibia,38.0,1990
Afghanistan,Netherlands,4079.0,1990
Afghanistan,New Zealand,53.0,1990
Afghanistan,Nicaragua,11.0,1990
Afghanistan,Norway,67.0,1990
Afghanistan,Pakistan,1651680.0,1990
Afghanistan,Philippines,6.0,1990
Afghanistan,Poland,25.0,1990
Afghanistan,Qatar,103.0,1990
Afghanistan,Russian Federation,9729.0,1990
Afghanistan,Saudi Arabia,55665.0,1990
Afghanistan,Slovakia,2.0,1990
Afghanistan,South Africa,22.0,1990
Afghanistan,Spain,7.0,1990
Afghanistan,Sweden,1479.0,1990
Afghanistan,Switzerland,692.0,1990
Afghanistan,Tajikistan,4759.0,1990
Afghanistan,Turkey,3777.0,1990
Afghanistan,Turkmenistan,163.0,1990
Afghanistan,Ukraine,607.0,1990
Afghanistan,United Arab Emirates,469.0,1990
Afghanistan,United Kingdom,543.0,1990
Afghanistan,United States of America,12687.0,1990
Albania,Argentina,62.0,1990
Albania,Australia,303.0,1990
Albania,Austria,870.0,1990
Albania,Belgium,1055.0,1990
Albania,Bolivia (Plurinational State of),6.0,1990
Albania,Bulgaria,49.0,1990
Albania,Canada,205.0,1990
Albania,Chile,13.0,1990
Albania,Colombia,19.0,1990
Albania,Costa Rica,1.0,1990
Albania,Cuba,109.0,1990
Albania,Cyprus,28.0,1990
Albania,Czechia,16.0,1990
Albania,Denmark,2.0,1990
Albania,Ecuador,4.0,1990
Albania,Egypt,37.0,1990
Albania,France,1534.0,1990
Albania,Germany,760.0,1990
Albania,Greece,20993.0,1990
Albania,Hungary,62.0,1990
Albania,Iceland,7.0,1990
Albania,Ireland,23.0,1990
Albania,Italy,13273.0,1990
Albania,Latvia,2.0,1990
Albania,Libya,106.0,1990
Albania,Luxembourg,139.0,1990
Albania,Malta,10.0,1990
Albania,Montenegro,-,1990
Albania,Netherlands,74.0,1990
Albania,North Macedonia,26242.0,1990
Albania,Norway,8.0,1990
Albania,Philippines,212.0,1990
Albania,Poland,31.0,1990
Albania,Portugal,4.0,1990
Albania,Romania,327.0,1990
Albania,Russian Federation,523.0,1990
Albania,San Marino,21.0,1990
Albania,Serbia,44.0,1990
Albania,Slovakia,2.0,1990
Albania,Slovenia,5.0,1990
Albania,South Africa,44.0,1990
Albania,Spain,79.0,1990
Albania,Sweden,133.0,1990
Albania,Switzerland,530.0,1990
Albania,Turkey,375.0,1990
Albania,United Kingdom,65.0,1990
Albania,United States of America,2407.0,1990
Albania,Venezuela (Bolivarian Republic of),8.0,1990
Algeria,Argentina,93.0,1990
Algeria,Australia,268.0,1990
Algeria,Austria,170.0,1990
Algeria,Belarus,3.0,1990
Algeria,Belgium,10988.0,1990
Algeria,Bolivia (Plurinational State of),1.0,1990
Algeria,Bulgaria,9.0,1990
Algeria,Canada,1920.0,1990
Algeria,Chile,23.0,1990
Algeria,Colombia,8.0,1990
Algeria,Costa Rica,25.0,1990
Algeria,Cuba,48.0,1990
Algeria,Cyprus,4.0,1990
Algeria,Czechia,11.0,1990
Algeria,Denmark,131.0,1990
Algeria,Ecuador,4.0,1990
Algeria,Egypt,360.0,1990
Algeria,Finland,17.0,1990
Algeria,France,342465.0,1990
Algeria,French Guiana,45.0,1990
Algeria,French Polynesia,219.0,1990
Algeria,Gabon,14.0,1990
Algeria,Germany,2078.0,1990
Algeria,Ghana,2.0,1990
Algeria,Greece,39.0,1990
Algeria,Guadeloupe,38.0,1990
Algeria,Hungary,11.0,1990
Algeria,Iceland,2.0,1990
Algeria,Ireland,32.0,1990
Algeria,Israel,10342.0,1990
Algeria,Italy,2345.0,1990
Algeria,Jordan,159.0,1990
Algeria,Latvia,1.0,1990
Algeria,Libya,1021.0,1990
Algeria,Luxembourg,40.0,1990
Algeria,Mali,135.0,1990
Algeria,Malta,6.0,1990
Algeria,Martinique,23.0,1990
Algeria,Mauritania,642.0,1990
Algeria,Mexico,23.0,1990
Algeria,Morocco,4330.0,1990
Algeria,Namibia,380.0,1990
Algeria,Netherlands,509.0,1990
Algeria,New Caledonia,222.0,1990
Algeria,Nicaragua,23.0,1990
Algeria,Niger,110.0,1990
Algeria,Norway,91.0,1990
Algeria,Peru,3.0,1990
Algeria,Philippines,351.0,1990
Algeria,Poland,158.0,1990
Algeria,Portugal,20.0,1990
Algeria,Romania,1.0,1990
Algeria,Russian Federation,664.0,1990
Algeria,Senegal,2226.0,1990
Algeria,Serbia,2.0,1990
Algeria,Slovakia,2.0,1990
Algeria,Slovenia,2.0,1990
Algeria,South Africa,130.0,1990
Algeria,Spain,4862.0,1990
Algeria,Sweden,442.0,1990
Algeria,Switzerland,2049.0,1990
Algeria,Tajikistan,110.0,1990
Algeria,Tunisia,6912.0,1990
Algeria,Turkey,40.0,1990
Algeria,Uganda,8.0,1990
Algeria,United Kingdom,1241.0,1990
Algeria,United States of America,1674.0,1990
Algeria,Venezuela (Bolivarian Republic of),44.0,1990
Algeria,Western Sahara,23.0,1990
American Samoa,Australia,31.0,1990
American Samoa,France,1.0,1990
American Samoa,Greece,2.0,1990
American Samoa,Micronesia (Fed. States of),8.0,1990
American Samoa,Russian Federation,488.0,1990
American Samoa,Samoa,462.0,1990
Andorra,Australia,170.0,1990
Andorra,Bolivia (Plurinational State of),1.0,1990
Andorra,Chile,3.0,1990
Andorra,Colombia,17.0,1990
Andorra,Czechia,2.0,1990
Andorra,France,670.0,1990
Andorra,Greece,3.0,1990
Andorra,Italy,1.0,1990
Andorra,Portugal,64.0,1990
Andorra,Slovenia,..,1990
Andorra,Spain,1083.0,1990
Andorra,Switzerland,8.0,1990
Andorra,United Kingdom,1.0,1990
Angola,Argentina,13.0,1990
Angola,Australia,133.0,1990
Angola,Austria,85.0,1990
Angola,Belgium,618.0,1990
Angola,Bolivia (Plurinational State of),2.0,1990
Angola,Botswana,262.0,1990
Angola,Brazil,2431.0,1990
Angola,Cabo Verde,798.0,1990
Angola,Canada,649.0,1990
Angola,Chile,2.0,1990
Angola,Colombia,24.0,1990
Angola,Congo,5427.0,1990
Angola,Costa Rica,3.0,1990
Angola,Cuba,86.0,1990
Angola,Czechia,4.0,1990
Angola,Democratic Republic of the Congo,242957.0,1990
Angola,Denmark,18.0,1990
Angola,Ecuador,9.0,1990
Angola,Egypt,11.0,1990
Angola,Eritrea,109.0,1990
Angola,Eswatini,1.0,1990
Angola,Finland,2.0,1990
Angola,France,4952.0,1990
Angola,Gabon,140.0,1990
Angola,Greece,9.0,1990
Angola,Hungary,4.0,1990
Angola,Iceland,4.0,1990
Angola,Ireland,45.0,1990
Angola,Italy,199.0,1990
Angola,Latvia,1.0,1990
Angola,Mali,31.0,1990
Angola,Mexico,18.0,1990
Angola,Mozambique,6596.0,1990
Angola,Namibia,8935.0,1990
Angola,Netherlands,609.0,1990
Angola,Norway,15.0,1990
Angola,Peru,5.0,1990
Angola,Philippines,259.0,1990
