origin,destination,num,year
Afghanistan,Argentina,12.0,2005
Afghanistan,Australia,8022.0,2005
Afghanistan,Austria,2170.0,2005
Afghanistan,Azerbaijan,65.0,2005
Afghanistan,Bahrain,125.0,2005
Afghanistan,Belarus,89.0,2005
Afghanistan,Belgium,961.0,2005
Afghanistan,Brazil,10.0,2005
Afghanistan,Bulgaria,62.0,2005
Afghanistan,Canada,15466.0,2005
Afghanistan,Chile,4.0,2005
Afghanistan,Colombia,40.0,2005
Afghanistan,Costa Rica,1.0,2005
Afghanistan,Cyprus,2.0,2005
Afghanistan,Czechia,79.0,2005
Afghanistan,Denmark,3061.0,2005
Afghanistan,Ecuador,10.0,2005
Afghanistan,Egypt,41.0,2005
Afghanistan,Finland,672.0,2005
Afghanistan,France,1463.0,2005
Afghanistan,Georgia,18.0,2005
Afghanistan,Germany,34082.0,2005
Afghanistan,Greece,660.0,2005
Afghanistan,Hungary,251.0,2005
Afghanistan,India,4723.0,2005
Afghanistan,Iran (Islamic Republic of),994597.0,2005
Afghanistan,Iraq,166.0,2005
Afghanistan,Ireland,31.0,2005
Afghanistan,Israel,1375.0,2005
Afghanistan,Italy,220.0,2005
Afghanistan,Jordan,28.0,2005
Afghanistan,Kuwait,448.0,2005
Afghanistan,Latvia,1.0,2005
Afghanistan,Libya,72.0,2005
Afghanistan,Lithuania,7.0,2005
Afghanistan,Malaysia,117.0,2005
Afghanistan,Namibia,27.0,2005
Afghanistan,Netherlands,14227.0,2005
Afghanistan,New Zealand,1055.0,2005
Afghanistan,Nicaragua,25.0,2005
Afghanistan,Norway,1988.0,2005
Afghanistan,Pakistan,541023.0,2005
Afghanistan,Philippines,319.0,2005
Afghanistan,Poland,16.0,2005
Afghanistan,Qatar,158.0,2005
Afghanistan,Russian Federation,1393.0,2005
Afghanistan,Saudi Arabia,67588.0,2005
Afghanistan,Slovakia,37.0,2005
Afghanistan,South Africa,22.0,2005
Afghanistan,Spain,63.0,2005
Afghanistan,Sri Lanka,30.0,2005
Afghanistan,Sweden,3858.0,2005
Afghanistan,Switzerland,1210.0,2005
Afghanistan,Syrian Arab Republic,306.0,2005
Afghanistan,Tajikistan,6949.0,2005
Afghanistan,Thailand,4.0,2005
Afghanistan,Turkey,4092.0,2005
Afghanistan,Turkmenistan,459.0,2005
Afghanistan,Ukraine,494.0,2005
Afghanistan,United Arab Emirates,989.0,2005
Afghanistan,United Kingdom,13730.0,2005
Afghanistan,United States of America,22644.0,2005
Albania,Argentina,42.0,2005
Albania,Australia,1056.0,2005
Albania,Austria,1215.0,2005
Albania,Belgium,1590.0,2005
Albania,Bolivia (Plurinational State of),1.0,2005
Albania,Bulgaria,384.0,2005
Albania,Canada,4807.0,2005
Albania,Chile,20.0,2005
Albania,Colombia,20.0,2005
Albania,Croatia,88.0,2005
Albania,Cuba,42.0,2005
Albania,Cyprus,80.0,2005
Albania,Czechia,61.0,2005
Albania,Denmark,96.0,2005
Albania,Ecuador,16.0,2005
Albania,Egypt,39.0,2005
Albania,Finland,20.0,2005
Albania,France,2732.0,2005
Albania,Georgia,6.0,2005
Albania,Germany,6147.0,2005
Albania,Greece,187560.0,2005
Albania,Hungary,80.0,2005
Albania,Iceland,17.0,2005
Albania,Ireland,134.0,2005
Albania,Italy,170943.0,2005
Albania,Latvia,3.0,2005
Albania,Libya,75.0,2005
Albania,Luxembourg,104.0,2005
Albania,Malta,48.0,2005
Albania,Montenegro,-,2005
Albania,Netherlands,320.0,2005
Albania,North Macedonia,40705.0,2005
Albania,Norway,119.0,2005
Albania,Philippines,235.0,2005
Albania,Poland,21.0,2005
Albania,Portugal,19.0,2005
Albania,Romania,361.0,2005
Albania,Russian Federation,241.0,2005
Albania,San Marino,23.0,2005
Albania,Serbia,398.0,2005
Albania,Slovakia,10.0,2005
Albania,Slovenia,30.0,2005
Albania,South Africa,52.0,2005
Albania,Spain,478.0,2005
Albania,Sweden,308.0,2005
Albania,Switzerland,784.0,2005
Albania,Turkey,1604.0,2005
Albania,United Kingdom,2697.0,2005
Albania,United States of America,22911.0,2005
Albania,Venezuela (Bolivarian Republic of),8.0,2005
Algeria,Argentina,63.0,2005
Algeria,Australia,519.0,2005
Algeria,Austria,237.0,2005
Algeria,Belarus,9.0,2005
Algeria,Belgium,7878.0,2005
Algeria,Bolivia (Plurinational State of),2.0,2005
Algeria,Brazil,45.0,2005
Algeria,Bulgaria,126.0,2005
Algeria,Canada,16652.0,2005
Algeria,Chile,26.0,2005
Algeria,Colombia,7.0,2005
Algeria,Costa Rica,3.0,2005
Algeria,Croatia,15.0,2005
Algeria,Cuba,18.0,2005
Algeria,Cyprus,12.0,2005
Algeria,Czechia,42.0,2005
Algeria,Denmark,320.0,2005
Algeria,Ecuador,6.0,2005
Algeria,Egypt,490.0,2005
Algeria,Finland,98.0,2005
Algeria,France,660830.0,2005
Algeria,French Guiana,46.0,2005
Algeria,French Polynesia,280.0,2005
Algeria,Gabon,24.0,2005
Algeria,Georgia,10.0,2005
Algeria,Germany,4519.0,2005
Algeria,Ghana,3.0,2005
Algeria,Greece,147.0,2005
Algeria,Guadeloupe,74.0,2005
Algeria,Hungary,141.0,2005
Algeria,Iceland,6.0,2005
Algeria,Ireland,184.0,2005
Algeria,Israel,19904.0,2005
Algeria,Italy,6406.0,2005
Algeria,Jordan,315.0,2005
Algeria,Latvia,2.0,2005
Algeria,Libya,1241.0,2005
Algeria,Luxembourg,38.0,2005
Algeria,Mali,1223.0,2005
Algeria,Malta,12.0,2005
Algeria,Martinique,53.0,2005
Algeria,Mauritania,559.0,2005
Algeria,Mexico,35.0,2005
Algeria,Morocco,4492.0,2005
Algeria,Namibia,266.0,2005
Algeria,Netherlands,1371.0,2005
Algeria,New Caledonia,318.0,2005
Algeria,Nicaragua,54.0,2005
Algeria,Niger,182.0,2005
Algeria,Norway,294.0,2005
Algeria,Peru,6.0,2005
Algeria,Philippines,208.0,2005
Algeria,Poland,111.0,2005
Algeria,Portugal,63.0,2005
Algeria,Russian Federation,294.0,2005
Algeria,Senegal,2302.0,2005
Algeria,Serbia,21.0,2005
Algeria,Slovakia,13.0,2005
Algeria,Slovenia,6.0,2005
Algeria,South Africa,63.0,2005
Algeria,Spain,12959.0,2005
Algeria,Sweden,688.0,2005
Algeria,Switzerland,2848.0,2005
Algeria,Tajikistan,73.0,2005
Algeria,Tunisia,4656.0,2005
Algeria,Turkey,173.0,2005
Algeria,United Kingdom,5324.0,2005
Algeria,United States of America,4478.0,2005
Algeria,Venezuela (Bolivarian Republic of),45.0,2005
Algeria,Western Sahara,31.0,2005
American Samoa,Australia,60.0,2005
American Samoa,France,6.0,2005
American Samoa,Greece,6.0,2005
American Samoa,Micronesia (Fed. States of),8.0,2005
American Samoa,Russian Federation,278.0,2005
American Samoa,Samoa,903.0,2005
Andorra,Australia,15.0,2005
Andorra,Chile,5.0,2005
Andorra,Colombia,15.0,2005
Andorra,Czechia,2.0,2005
Andorra,France,537.0,2005
Andorra,Greece,1.0,2005
Andorra,Ireland,3.0,2005
Andorra,Italy,52.0,2005
Andorra,Portugal,211.0,2005
Andorra,Spain,2133.0,2005
Andorra,Sweden,1.0,2005
Andorra,Switzerland,13.0,2005
Andorra,United Kingdom,18.0,2005
Angola,Argentina,9.0,2005
Angola,Australia,221.0,2005
Angola,Austria,119.0,2005
Angola,Belgium,1567.0,2005
Angola,Bolivia (Plurinational State of),2.0,2005
Angola,Botswana,992.0,2005
Angola,Brazil,2977.0,2005
Angola,Bulgaria,3.0,2005
Angola,Cabo Verde,624.0,2005
Angola,Cameroon,1327.0,2005
Angola,Canada,1229.0,2005
Angola,Chile,32.0,2005
Angola,Colombia,21.0,2005
Angola,Congo,8201.0,2005
Angola,Costa Rica,1.0,2005
Angola,Cuba,33.0,2005
Angola,Czechia,19.0,2005
Angola,Democratic Republic of the Congo,136042.0,2005
Angola,Denmark,68.0,2005
Angola,Ecuador,13.0,2005
Angola,Egypt,12.0,2005
Angola,Eritrea,213.0,2005
Angola,Eswatini,113.0,2005
Angola,Finland,85.0,2005
Angola,France,7085.0,2005
Angola,Gabon,252.0,2005
Angola,Greece,8.0,2005
Angola,Hungary,23.0,2005
Angola,Iceland,9.0,2005
Angola,Ireland,260.0,2005
Angola,Italy,935.0,2005
Angola,Latvia,1.0,2005
Angola,Mali,119.0,2005
Angola,Mexico,24.0,2005
Angola,Mozambique,16035.0,2005
Angola,Namibia,16138.0,2005
Angola,Netherlands,3593.0,2005
Angola,Norway,130.0,2005
Angola,Peru,10.0,2005
Angola,Philippines,1078.0,2005
Angola,Poland,3.0,2005
Angola,Portugal,89825.0,2005
Angola,Russian Federation,117.0,2005
Angola,Sao Tome and Principe,306.0,2005
Angola,Slovakia,2.0,2005
Angola,Slovenia,2.0,2005
Angola,South Africa,10589.0,2005
Angola,Spain,1512.0,2005
Angola,Sweden,300.0,2005
Angola,Switzerland,2422.0,2005
Angola,United Kingdom,5015.0,2005
Angola,United Republic of Tanzania,465.0,2005
Angola,United States of America,3640.0,2005
Angola,Venezuela (Bolivarian Republic of),78.0,2005
Angola,Zambia,49293.0,2005
Anguilla,Antigua and Barbuda,18.0,2005
Anguilla,"Bonaire, Sint Eustatius and Saba",270.0,2005
Anguilla,Bulgaria,11.0,2005
Anguilla,Canada,60.0,2005
Anguilla,Chile,13.0,2005
Anguilla,Colombia,12.0,2005
Anguilla,Dominica,4.0,2005
Anguilla,Dominican Republic,43.0,2005
Anguilla,France,83.0,2005
Anguilla,Greece,7.0,2005
Anguilla,Ireland,1.0,2005
Anguilla,Latvia,1.0,2005
Anguilla,Netherlands,16.0,2005
Anguilla,Russian Federation,70.0,2005
Anguilla,Saint Lucia,9.0,2005
Anguilla,Sint Maarten (Dutch part),83.0,2005
Anguilla,United Kingdom,296.0,2005
Anguilla,United States Virgin Islands,503.0,2005
Antigua and Barbuda,Australia,15.0,2005
Antigua and Barbuda,Austria,6.0,2005
Antigua and Barbuda,Bahamas,6.0,2005
Antigua and Barbuda,Barbados,141.0,2005
Antigua and Barbuda,"Bonaire, Sint Eustatius and Saba",599.0,2005
Antigua and Barbuda,British Virgin Islands,340.0,2005
Antigua and Barbuda,Bulgaria,1.0,2005
Antigua and Barbuda,Canada,1186.0,2005
Antigua and Barbuda,Chile,8.0,2005
Antigua and Barbuda,Colombia,24.0,2005
Antigua and Barbuda,Denmark,2.0,2005
Antigua and Barbuda,Dominica,168.0,2005
Antigua and Barbuda,Dominican Republic,124.0,2005
Antigua and Barbuda,Egypt,8.0,2005
Antigua and Barbuda,France,63.0,2005
Antigua and Barbuda,Greece,10.0,2005
Antigua and Barbuda,Grenada,18.0,2005
Antigua and Barbuda,Guyana,8.0,2005
Antigua and Barbuda,Ireland,1.0,2005
Antigua and Barbuda,Italy,12.0,2005
Antigua and Barbuda,Jamaica,82.0,2005
Antigua and Barbuda,Montserrat,56.0,2005
Antigua and Barbuda,Namibia,292.0,2005
Antigua and Barbuda,Netherlands,19.0,2005
Antigua and Barbuda,Nicaragua,54.0,2005
Antigua and Barbuda,Saint Kitts and Nevis,188.0,2005
Antigua and Barbuda,Saint Lucia,47.0,2005
Antigua and Barbuda,Saint Vincent and the Grenadines,24.0,2005
Antigua and Barbuda,Sint Maarten (Dutch part),140.0,2005
Antigua and Barbuda,Sweden,3.0,2005
Antigua and Barbuda,Switzerland,38.0,2005
Antigua and Barbuda,United Kingdom,1938.0,2005
Antigua and Barbuda,United States of America,12253.0,2005
Antigua and Barbuda,United States Virgin Islands,2580.0,2005
Argentina,Andorra,233.0,2005
Argentina,Australia,6675.0,2005
Argentina,Austria,581.0,2005
Argentina,Bahamas,21.0,2005
Argentina,Belarus,66.0,2005
Argentina,Belgium,871.0,2005
Argentina,Bolivia (Plurinational State of),16016.0,2005
Argentina,"Bonaire, Sint Eustatius and Saba",28.0,2005
Argentina,Brazil,12102.0,2005
Argentina,Bulgaria,45.0,2005
Argentina,Cabo Verde,5.0,2005
