origin,destination,num,year
Afghanistan,Argentina,18.0,1995
Afghanistan,Australia,3375.0,1995
Afghanistan,Austria,1725.0,1995
Afghanistan,Azerbaijan,65.0,1995
Afghanistan,Bahrain,69.0,1995
Afghanistan,Belarus,64.0,1995
Afghanistan,Belgium,39.0,1995
Afghanistan,Bolivia (Plurinational State of),1.0,1995
Afghanistan,Bulgaria,70.0,1995
Afghanistan,Canada,7069.0,1995
Afghanistan,Chile,1.0,1995
Afghanistan,Colombia,44.0,1995
Afghanistan,Costa Rica,6.0,1995
Afghanistan,Czechia,20.0,1995
Afghanistan,Denmark,745.0,1995
Afghanistan,Ecuador,8.0,1995
Afghanistan,Egypt,38.0,1995
Afghanistan,Finland,72.0,1995
Afghanistan,France,1509.0,1995
Afghanistan,Germany,22250.0,1995
Afghanistan,Greece,84.0,1995
Afghanistan,Hungary,179.0,1995
Afghanistan,India,9598.0,1995
Afghanistan,Iran (Islamic Republic of),843379.0,1995
Afghanistan,Iraq,170.0,1995
Afghanistan,Ireland,15.0,1995
Afghanistan,Israel,1514.0,1995
Afghanistan,Italy,49.0,1995
Afghanistan,Jordan,31.0,1995
Afghanistan,Kuwait,387.0,1995
Afghanistan,Latvia,7.0,1995
Afghanistan,Libya,101.0,1995
Afghanistan,Lithuania,16.0,1995
Afghanistan,Malaysia,16.0,1995
Afghanistan,Namibia,36.0,1995
Afghanistan,Netherlands,6143.0,1995
Afghanistan,New Zealand,207.0,1995
Afghanistan,Nicaragua,9.0,1995
Afghanistan,Norway,145.0,1995
Afghanistan,Pakistan,631234.0,1995
Afghanistan,Philippines,8.0,1995
Afghanistan,Poland,21.0,1995
Afghanistan,Qatar,105.0,1995
Afghanistan,Russian Federation,5765.0,1995
Afghanistan,Saudi Arabia,56751.0,1995
Afghanistan,Slovakia,19.0,1995
Afghanistan,South Africa,12.0,1995
Afghanistan,Spain,11.0,1995
Afghanistan,Sri Lanka,2.0,1995
Afghanistan,Sweden,1768.0,1995
Afghanistan,Switzerland,832.0,1995
Afghanistan,Syrian Arab Republic,45.0,1995
Afghanistan,Tajikistan,6731.0,1995
Afghanistan,Thailand,4.0,1995
Afghanistan,Turkey,4400.0,1995
