origin,destination,num,year
Afghanistan,Argentina,7.0,2019
Afghanistan,Australia,23169.0,2019
Afghanistan,Austria,6637.0,2019
Afghanistan,Azerbaijan,51.0,2019
Afghanistan,Bahrain,227.0,2019
Afghanistan,Belarus,88.0,2019
Afghanistan,Belgium,5993.0,2019
Afghanistan,Brazil,27.0,2019
Afghanistan,Bulgaria,102.0,2019
Afghanistan,Canada,27628.0,2019
Afghanistan,Chile,9.0,2019
Afghanistan,Colombia,49.0,2019
Afghanistan,Costa Rica,3.0,2019
Afghanistan,Cyprus,1.0,2019
Afghanistan,Czechia,170.0,2019
Afghanistan,Denmark,6307.0,2019
Afghanistan,Ecuador,75.0,2019
Afghanistan,Egypt,46.0,2019
Afghanistan,Estonia,11.0,2019
Afghanistan,Finland,3204.0,2019
Afghanistan,France,3537.0,2019
Afghanistan,Georgia,18.0,2019
Afghanistan,Germany,76759.0,2019
Afghanistan,Greece,5977.0,2019
Afghanistan,Hungary,417.0,2019
Afghanistan,Iceland,12.0,2019
Afghanistan,India,6636.0,2019
Afghanistan,Iran (Islamic Republic of),1109773.0,2019
Afghanistan,Iraq,137.0,2019
Afghanistan,Ireland,31.0,2019
Afghanistan,Israel,1294.0,2019
Afghanistan,Italy,684.0,2019
Afghanistan,Jordan,25.0,2019
Afghanistan,Kuwait,1119.0,2019
Afghanistan,Latvia,9.0,2019
Afghanistan,Libya,94.0,2019
Afghanistan,Lithuania,4.0,2019
Afghanistan,Malaysia,236.0,2019
Afghanistan,Mali,118.0,2019
Afghanistan,Namibia,25.0,2019
Afghanistan,Netherlands,16961.0,2019
Afghanistan,New Zealand,1347.0,2019
Afghanistan,Nicaragua,28.0,2019
Afghanistan,Norway,6350.0,2019
Afghanistan,Pakistan,835941.0,2019
Afghanistan,Philippines,661.0,2019
Afghanistan,Poland,14.0,2019
Afghanistan,Qatar,317.0,2019
Afghanistan,Russian Federation,1195.0,2019
Afghanistan,Saudi Arabia,147392.0,2019
Afghanistan,Slovakia,35.0,2019
Afghanistan,South Africa,69.0,2019
Afghanistan,Spain,116.0,2019
Afghanistan,Sri Lanka,62.0,2019
Afghanistan,Sweden,16794.0,2019
Afghanistan,Switzerland,4332.0,2019
Afghanistan,Syrian Arab Republic,483.0,2019
Afghanistan,Tajikistan,6816.0,2019
Afghanistan,Turkey,8211.0,2019
Afghanistan,Turkmenistan,108.0,2019
Afghanistan,Ukraine,1086.0,2019
Afghanistan,United Arab Emirates,2512.0,2019
Afghanistan,United Kingdom,21130.0,2019
Afghanistan,United States of America,39505.0,2019
Albania,Argentina,27.0,2019
Albania,Australia,1856.0,2019
Albania,Austria,1845.0,2019
Albania,Belgium,5472.0,2019
Albania,Bolivia (Plurinational State of),1.0,2019
Albania,Bulgaria,585.0,2019
Albania,Canada,8283.0,2019
Albania,Chile,57.0,2019
Albania,Colombia,25.0,2019
Albania,Croatia,89.0,2019
Albania,Cuba,16.0,2019
Albania,Cyprus,121.0,2019
Albania,Czechia,134.0,2019
Albania,Denmark,267.0,2019
Albania,Ecuador,32.0,2019
Albania,Egypt,44.0,2019
Albania,Estonia,13.0,2019
Albania,Finland,211.0,2019
Albania,France,3624.0,2019
Albania,Georgia,6.0,2019
Albania,Germany,22465.0,2019
Albania,Greece,201016.0,2019
Albania,Guinea,3.0,2019
Albania,Hungary,118.0,2019
Albania,Iceland,42.0,2019
Albania,Ireland,135.0,2019
Albania,Italy,232044.0,2019
Albania,Latvia,4.0,2019
Albania,Libya,98.0,2019
Albania,Luxembourg,511.0,2019
Albania,Mali,788.0,2019
Albania,Malta,86.0,2019
Albania,Montenegro,1609.0,2019
Albania,Netherlands,952.0,2019
Albania,North Macedonia,40019.0,2019
Albania,Norway,690.0,2019
Albania,Philippines,61.0,2019
Albania,Poland,18.0,2019
Albania,Portugal,25.0,2019
Albania,Romania,153.0,2019
Albania,Russian Federation,96.0,2019
Albania,San Marino,32.0,2019
Albania,Serbia,387.0,2019
Albania,Slovakia,18.0,2019
Albania,Slovenia,83.0,2019
Albania,South Africa,170.0,2019
Albania,Spain,942.0,2019
Albania,Sweden,3047.0,2019
Albania,Switzerland,2090.0,2019
Albania,Turkey,2348.0,2019
Albania,United Kingdom,4149.0,2019
Albania,United States of America,50994.0,2019
Albania,Venezuela (Bolivarian Republic of),9.0,2019
Algeria,Argentina,40.0,2019
Algeria,Australia,713.0,2019
Algeria,Austria,360.0,2019
Algeria,Belarus,8.0,2019
Algeria,Belgium,12128.0,2019
